Name,Walk,Open,Close,Nationality,Profile,Follower
Miriam Sanchez,26,0,0,None,{},14.58 K
Sara Grace Wallerstedt,26,1,1,United States,{},61.35 K
Annibelis Baez,25,1,1,Dominican Republic,{},6.41 K
Juliane Grüner,25,1,0,Denmark,{},4.73 K
Nora Attal,25,0,0,United Kingdom,{},32.05 K
Sabah Koj,25,0,1,None,{},28.77 K
Tessa Bruinsma,25,2,0,Netherlands,"{'Hair': 'Brown', 'Eyes': 'Blue/Green', 'Height (cm)': '181', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '9'}",3.68 K
Faretta ,24,0,0,Croatia,{},76.36 K
Julia Merkelbach,24,0,2,None,{},2.96 K
Kateryna Zub,24,2,3,Ukraine,{'Hair': 'Blonde'},3.81 K
Kiki Willems,24,2,0,Netherlands,"{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '179', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '7.5'}",32.68 K
Maud Hoevelaken,24,0,1,None,{},2.17 K
Mona Tougaard,24,2,1,Denmark,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '179.5'}",10.16 K
Abby Champion,23,0,1,United States,{},358.73 K
Fatou Jobe,22,0,2,None,{},6.19 K
Giedre Dukauskaite,22,3,0,"May 16, 1988","{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '177', 'Bust (cm)': '53', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '9'}",92.63 K
Ilya Vermeulen,22,0,0,Netherlands,{},1.38 K
Kaia Gerber,22,2,2,United States,"{'Hair': 'Brown', 'Eyes': 'Brown'}",4.95 M
Maisie Dunlop,22,0,0,None,{},2.92 K
Ning Jinyi,22,1,0,None,{},398
Sasha Komarova,22,1,0,None,{},6.31 K
Amira Pinheiro,21,0,0,None,{},13.06 K
Bella Hadid,21,2,3,"October 9, 1996","{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '174', 'Bust (cm)': '86', 'Waist (cm)': '61', 'Hips (cm)': '81', 'Shoe (us)': '7.5'}",26.64 M
Cara Taylor,21,0,1,United States,"{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '177', 'Bust (cm)': '81', 'Waist (cm)': '64', 'Hips (cm)': '89', 'Shoe (us)': '10'}",65.25 K
Jing Wen,21,1,0,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8'}",31.64 K
Kaila Wyatt,21,1,0,United States,"{'Hair': 'Red', 'Eyes': 'Blue', 'Height (cm)': '177.8', 'Shoe (us)': '8'}",2.98 K
Kerolyn Soares,21,2,0,Brazil,{},7.52 K
Licett Morillo,21,0,0,Dominican Republic,{},7.19 K
Naomi Chin Wing,21,0,0,Trinidad and Tobago,"{'Hair': 'Brown', 'Eyes': 'Brown'}",19.30 K
Tang He,21,0,0,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '39'}",3.20 K
Yeva Podurian,21,0,0,None,{},6.00 K
Amanda Googe,20,0,0,None,"{'Hair': 'Brown', 'Eyes': 'Hazel', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}",21.16 K
Emily Viviane,20,1,2,United Kingdom,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '180.3', 'Bust (cm)': '79', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '10'}",-
Evelyn Nagy,20,0,0,None,"{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '178'}",3.05 K
Grace Elizabeth,20,1,2,United States,"{'Hair': 'Blonde', 'Eyes': 'Green'}",1.04 M
Léa Julian,20,0,0,France,{},35.94 K
Manuela Sanchez,20,0,1,Dominican Republic,{},9.08 K
Mathilde Henning,20,0,1,Denmark,{},8.83 K
Merel Zoet,20,0,2,None,{},4.33 K
Wangy ,20,0,0,China,"{'Hair': 'Black', 'Eyes': 'Brown'}",6.19 K
Yoon Young Bae,20,0,0,South Korea,{},168.01 K
Aaliyah Hydes,19,1,1,"United Kingdom, Cayman Islands",{},6.65 K
Alberte Mortensen,19,0,0,None,{'Height (cm)': '178'},2.55 K
Jamily Wernke Meurer,19,0,0,Brazil,"{'Hair': 'Brown', 'Eyes': 'Green', 'Height (cm)': '181'}",4.36 K
Lexi Boling,19,1,1,United States,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}",99.21 K
Shanelle Nyasiase,19,0,1,"Ethiopia, South Sudan",{},43.93 K
Yorgelis Marte,19,0,0,Dominican Republic,{},3.22 K
Awar Mou,18,0,1,"Sudan, South Sudan","{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '175.26', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '7.5'}",1.71 K
Birgit Kos,18,1,0,Netherlands,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '8'}",128.19 K
Heejung Park,18,0,0,South Korea,{},26.64 K
Liu Huan,18,0,0,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '181', 'Bust (cm)': '79', 'Waist (cm)': '56', 'Hips (cm)': '86', 'Shoe (us)': '9'}",1.08 K
Liz Kennedy,18,1,0,None,{},6.72 K
Malika El Maslouhi,18,1,1,None,{},5.90 K
Natalia Montero,18,2,0,Colombia,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '177', 'Bust (cm)': '80', 'Waist (cm)': '62', 'Hips (cm)': '87', 'Shoe (us)': '38'}",8.05 K
Nikki Tissen,18,0,0,None,{},1.91 K
Sara Blomqvist,18,1,4,Sweden,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '89'}",11.06 K
Sara Eirud,18,2,0,Sweden,{},2.58 K
Sasha Knysh,18,0,0,None,{},-
Adot Gak,17,0,0,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '9'}",-
Daniela Kocianova,17,0,0,Czech Republic,{},10.34 K
Emily Driver,17,0,0,None,{},1.90 K
Jordan Daniels,17,1,0,"New Zealand, South Africa",{},11.59 K
Karly Loyce,17,0,1,Martinique,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '84', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",13.96 K
Louise Robert,17,0,0,Belgium,{},4.60 K
Meghan Roche,17,0,0,United States,"{'Hair': 'Brown', 'Eyes': 'Blue'}",106.11 K
Nayeli Figueroa,17,0,0,Dominican Republic,"{'Hair': 'Brown', 'Eyes': 'Green', 'Height (cm)': '175.3', 'Bust (cm)': '74', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '37.5'}",3.82 K
Pia Ekman,17,0,0,Sweden,{},2.03 K
Rachelle Harris,17,0,0,None,{},3.36 K
Sacha Quenby,17,0,0,United Kingdom,{},871
Sijia Kang,17,0,0,China,{},9.82 K
Sophie Martynova,17,1,0,Russia,{},30.17 K
Gigi Hadid,16,2,2,"April 23, 1995","{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '178', 'Bust (cm)': '86', 'Waist (cm)': '64', 'Hips (cm)': '89'}",50.63 M
Hannah Shakespeare,16,0,0,United Kingdom,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86'}",7.16 K
Lina Berg,16,0,0,Germany,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '64', 'Hips (cm)': '89', 'Shoe (us)': '7'}",6.86 K
Lys Lorente,16,1,0,None,{},486
Mahany Pery,16,0,0,Brazil,{},46.33 K
Mia Brammer,16,0,1,Brazil,{},4.14 K
Nora Vara,16,0,2,None,{},9.39 K
Nya Gatbel,16,0,0,Canada,{},6.01 K
Remington Williams,16,0,0,United States,{},7.37 K
Ruinan Dong,16,0,0,China,{},829
Selena Forrest,16,0,1,United States,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",74.30 K
Shaderska Valdez,16,0,0,Dominican Republic,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '9.5'}",5.11 K
Vittoria Ceretti,16,1,0,Italy,"{'Hair': 'Brown', 'Eyes': 'Green', 'Height (cm)': '179', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '9.5'}",794.63 K
Cynthia Arrebola,15,1,0,Argentina,{},5.71 K
Kukua Williams,15,0,1,United Kingdom,{},3.41 K
Laura Schoenmakers,15,0,2,None,{},2.02 K
Louise Lefebure,15,0,0,France,"{'Hair': 'Brown', 'Eyes': 'Blue/Green', 'Height (cm)': '180.3', 'Bust (cm)': '86', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '10'}",3.60 K
Niko Riam,15,0,2,United Kingdom,{},7.76 K
Nuri Son,15,0,0,South Korea,{},6.59 K
Nyarach Abouch Ayuel,15,1,0,South Sudan,{},-
Rianne Van Rompaey,15,2,2,Netherlands,"{'Hair': 'Red', 'Eyes': 'Green', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '7.5'}",88.32 K
Rocio Marconi,15,1,0,Argentina,{},2.86 K
Rouguy Faye,15,0,0,None,{},902
Tatia Akhalaia,15,0,1,Georgia,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '83', 'Waist (cm)': '59', 'Hips (cm)': '88', 'Shoe (us)': '40'}",29.09 K
Vika Evseeva,15,1,0,None,"{'Height (cm)': '179', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '7'}",10.41 K
Africa Penalver,14,0,1,None,{},4.94 K
Angelica Alves,14,0,1,Brazil,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '177', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '8'}",10.71 K
Assa Baradji,14,0,0,France,{},2.74 K
Beatriz Ronda,14,0,0,Spain,"{'Hair': 'Brown', 'Eyes': 'Hazel', 'Height (cm)': '176', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '8.5'}",2.36 K
Brit Knight,14,2,0,Jamaica,{},7.13 K
Caroline Knudsen,14,0,0,None,{},2.91 K
Eleonore Ghiuritan,14,0,1,France,{},948
Evgenia Dubinova,14,1,0,None,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '76', 'Waist (cm)': '56', 'Hips (cm)': '89', 'Shoe (us)': '8.5'}",1.57 K
Hayett McCarthy,14,0,0,None,{},10.24 K
Justine Asset,14,0,0,None,{},1.50 K
Milena Urvantseva,14,2,1,Estonia,"{'Hair': 'Brown', 'Eyes': 'Hazel', 'Height (cm)': '176', 'Bust (cm)': '77', 'Waist (cm)': '60', 'Hips (cm)': '87', 'Shoe (us)': '7.5'}",2.04 K
Oyku Bastas,14,0,0,Turkey,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '177', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '39'}",80.88 K
Rachel Marx,14,0,0,None,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '177.8', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '9.5'}",2.53 K
Shuping Li,14,0,0,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '175.3', 'Bust (cm)': '74', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '7'}",-
Su Kexin,14,1,0,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '177', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",-
Vika Ihnatenko,14,0,0,Ukraine,{'Hair': 'Brown'},6.70 K
Chiharu Okunugi,13,0,0,Japan,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '8'}",752
Chu Wong,13,1,0,China,{},23.16 K
Darya Kostenich,13,0,1,Belarus,"{'Hair': 'Brown', 'Eyes': 'Blue/Green', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '9'}",18.86 K
Dipti Sharma,13,0,0,India,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '39.5'}",-
Elsa Baldaia,13,0,1,Angola,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '84', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8'}",16.25 K
J Moon,13,1,0,None,"{'Hair': 'Red', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",6.85 K
Jolie Alien,13,0,0,None,{},40.41 K
Karlijn Kusters,13,0,0,Netherlands,{},2.33 K
Kely Ferr,13,1,0,None,{},12.52 K
Lineisy Montero,13,0,0,Dominican Republic,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '86', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '10'}",148.36 K
Mayara Moreno,13,0,1,Brazil,{},1.28 K
Michelle Gutknecht,13,1,1,Poland,{},11.67 K
Naki Depass,13,1,0,Jamaica,{},2.87 K
Nike Praesto Nordstrom,13,0,0,Sweden,{},4.66 K
Pan Haowen,13,1,3,None,{},3.75 K
Pooja Mor,13,0,2,India,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '176', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '7'}",58.54 K
Sophie Longford,13,0,0,None,"{'Hair': 'Blonde', 'Eyes': 'Green', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '64', 'Hips (cm)': '89', 'Shoe (us)': '9.5'}",60.23 K
Unia Pakhomova,13,1,0,Russia,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '175', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8'}",40.05 K
Valou Weemering,13,1,0,None,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '177.8', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",24.71 K
Xu Jing,13,0,1,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '56', 'Hips (cm)': '86', 'Shoe (us)': '38'}",1.30 K
Adesuwa Aighewi,12,0,0,United States,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '79', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",103.42 K
Alanna Arrington,12,1,1,United States,"{'Hair': 'Brown', 'Eyes': 'Hazel', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '9'}",298.45 K
Ana Barbosa,12,1,0,Brazil,{},8.17 K
Anastasia Panasenko,12,1,1,Ukraine,"{'Hair': 'Brown', 'Eyes': 'Green', 'Height (cm)': '180.3', 'Bust (cm)': '81', 'Waist (cm)': '56', 'Hips (cm)': '84', 'Shoe (us)': '9.5'}",11.44 K
Anniek Verfaille,12,0,0,None,{},2.64 K
Ashanti Hildreth,12,0,0,United States,{},4.37 K
Britt Ensink,12,0,0,None,{},1.68 K
Chane Husselmann,12,0,0,South Africa,"{'Hair': 'Blonde', 'Eyes': 'Blue'}",5.52 K
Chiara Vanderstraeten,12,0,1,Belgium,{},1.33 K
Janaye Furman,12,0,0,None,{},8.74 K
Jay Wright,12,1,0,United States,"{'Hair': 'Brown', 'Eyes': 'Hazel', 'Height (cm)': '180', 'Bust (cm)': '79', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",4.04 K
Kathia Nseke,12,0,0,None,{},2.17 K
Krini Hernandez,12,0,0,Mexico,{},10.12 K
Maggie Jablonski,12,1,1,United States,"{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '180.3', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9.5'}",-
Mica Argañaraz,12,0,1,Argentina,{},189.52 K
Nikki Vonsee,12,0,0,Netherlands,{},2.56 K
Nina Marker,12,1,0,Denmark,{},65.62 K
Polina Sova,12,0,0,None,{},12.34 K
Rossana Latallada,12,0,0,Uruguay,{},8.43 K
Sculy Mejia,12,0,0,Dominican Republic,{},998
Ziwei Cao,12,1,1,China,{},3.01 K
Zoe Thaets,12,0,1,Belgium,{},10.29 K
Alexandra Micu,11,1,0,Romania,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '7.5'}",22.37 K
BingBing Yuan,11,0,1,China,"{'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '10'}",1.10 K
Brooke Robinson,11,1,0,None,{},1.01 K
Bruna Ludtke,11,0,0,None,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '74', 'Waist (cm)': '61', 'Hips (cm)': '84'}",2.38 K
Carol Mendes,11,0,0,None,{},-
Chun Jin ,11,0,0,None,{},2.28 K
Cindy Bruna,11,1,2,France,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '84', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '8'}",863.86 K
Coralie Jean-Francois,11,0,0,None,{},727
Eliza Kallmann,11,0,0,None,{},7.31 K
Emily Godwin,11,1,0,United Kingdom,{'Hair': 'Brown'},663
Ilona Desmet,11,0,0,Belgium,{},4.31 K
Irina Kravchenko,11,1,1,None,{},16.38 K
Josefine Lynderup,11,0,0,Denmark,{},2.93 K
Josephine Adam,11,0,0,Germany,{},3.61 K
Ksenia Korshunova,11,2,0,Russia,{},914
Magdalena Chachlica,11,1,0,None,"{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '181', 'Bust (cm)': '86', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '9'}",8.70 K
Maggie Maurer,11,0,0,United States,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '8.5'}",23.88 K
Mame Thiane Camara,11,0,0,None,{},-
Maria Miguel,11,0,1,Portugal,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '76', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '6'}",980
Nastya Abramova,11,1,0,None,{},11.13 K
Penelope Ternes,11,0,1,Germany,{},888
Qin Lei,11,0,0,None,"{'Height (cm)': '177.8', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",-
Ruth Bouwmeester,11,0,2,Netherlands,{'Hair': 'Red'},1.26 K
Tara Falla,11,1,0,None,{},28.47 K
Yasmin Wijnaldum,11,1,0,Netherlands,"{'Hair': 'Brown', 'Eyes': 'Blue/Green', 'Height (cm)': '180', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9.5'}",285.81 K
Zso Varju,11,1,1,None,"{'Hair': 'Brown', 'Eyes': 'Blue/Green', 'Height (cm)': '177', 'Bust (cm)': '33', 'Waist (cm)': '23', 'Hips (cm)': '86', 'Shoe (us)': '7'}",612
Alina Egorova,10,0,0,Russia,{},5.75 K
América González,10,1,1,Venezuela,"{'Hair': 'Brown', 'Eyes': 'Green', 'Height (cm)': '180.3', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '10.5'}",2.49 K
Anyelina Rosa,10,0,0,Dominican Republic,{},5.95 K
Barbara Valente,10,0,0,None,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '75', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '10'}",10.61 K
Binx Walton,10,0,0,United States,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '180.3', 'Bust (cm)': '76', 'Waist (cm)': '61', 'Hips (cm)': '89'}",8.69 K
Brionka Halbert,10,0,0,United States,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '180.3', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '9'}",32.76 K
Chen Yuan,10,1,0,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8'}",1.25 K
Chesca Lenton,10,1,0,United Kingdom,{},1.19 K
Chiara Corridori,10,0,0,Italy,{},26.10 K
Diya Prabhakar,10,0,0,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '180.3', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '9'}",5.04 K
Gabriella Pires,10,0,0,None,{},8.42 K
Gaia Orgeas,10,0,0,France,"{'Hair': 'Black', 'Eyes': 'Hazel', 'Height (cm)': '176', 'Bust (cm)': '81', 'Waist (cm)': '63', 'Hips (cm)': '93', 'Shoe (us)': '8'}",15.98 K
Günce Gözütok,10,0,1,Turkey,{},6.56 K
Hayley Ashton,10,0,0,United States,{},10.74 K
Hyun Seo,10,0,0,None,{},27.17 K
Isa Peerdeman,10,0,0,Netherlands,{},1.27 K
Jerudys Santana,10,0,0,None,{},2.18 K
Lily McMenamy,10,1,0,"United Kingdom, United States",{},28.39 K
Liza Makeeva,10,0,0,None,{},4.20 K
Lulu Reynolds,10,0,0,None,{},2.90 K
Luna Bijl,10,0,1,Netherlands,{},163.20 K
Mara Kasanpawiro,10,0,0,Netherlands,{},3.61 K
Marfa Manakh,10,0,0,None,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '180.34', 'Bust (cm)': '80', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '8'}",1.82 K
Mayowa Nicholas,10,0,1,Nigeria,{},120.23 K
Mika Schneider,10,0,0,"Japan, France","{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '77', 'Waist (cm)': '55', 'Hips (cm)': '85', 'Shoe (us)': '8'}",12.71 K
Nicole Atieno,10,0,1,None,{},32.48 K
