Name,Walk,Open,Close,Nationality,Profile,Follower
Rebecca Leigh Longendyke,40,0,1,United States,{},31.91 K
Lara Mullen,39,1,2,United Kingdom,{},13.37 K
Steinberg ,37,1,2,Russia,"{'Hair': 'Black', 'Eyes': 'Green', 'Height (cm)': '180', 'Hips (cm)': '86'}",49.13 K
Cyrielle Lalande,36,0,0,France,{},2.27 K
Felice Nova Noordhoff,36,0,2,Netherlands,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",17.36 K
Hannah Motler,36,0,0,United Kingdom,"{'Hair': 'Blonde', 'Eyes': 'Blue'}",18.85 K
Adut Akech,33,4,4,South Sudan,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '84'}",650.87 K
Alina Bolotina,33,0,0,Russia,{},3.26 K
Sora Choi,33,0,1,South Korea,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}",246.34 K
Achenrin Madit,32,1,0,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '7'}",1.52 K
Lina Zhang,32,1,1,China,{},9.67 K
Aliet Sarah,31,0,1,"South Sudan, Uganda","{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '177.8', 'Bust (cm)': '84', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '10'}",10.87 K
Anok Yai,31,1,1,"United States, South Sudan",{},355.49 K
Fran Summers,31,2,2,United Kingdom,{},66.39 K
Bente Oort,30,2,3,Netherlands,"{'Hair': 'Blonde', 'Eyes': 'Blue'}",14.64 K
Blesnya Minher,30,0,1,Angola,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '176', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8'}",29.87 K
Kyla Ramsey,30,0,0,Jamaica,{},3.24 K
Maike Inga,30,2,0,Germany,{},9.37 K
Ajok Madel,29,0,3,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '177.8', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '9'}",5.08 K
Chai Maximus,29,1,0,Belgium,{},2.13 K
Giselle Norman,29,1,0,None,{},12.49 K
He Cong,28,0,0,China,{},84.67 K
Hyun Ji Shin,28,0,0,None,{},67.82 K
Chunjie Liu,27,0,1,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}",4.82 K
Yilan Hua,27,0,1,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8'}",4.57 K
Deirdre Firinne,26,1,1,Netherlands,{},3.24 K
Hiandra Martinez,26,1,0,Dominican Republic,{},21.89 K
