Name,Walk,Open,Close,Nationality,Profile,Follower
Maisie Dunlop,30,0,0,None,{},2.92 K
Nora Attal,30,0,0,United Kingdom,{},32.05 K
Sabah Koj,30,0,1,None,{},28.74 K
Chunjie Liu,29,0,1,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}",4.82 K
Kiki Willems,29,3,0,Netherlands,"{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '179', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '7.5'}",32.68 K
Sasha Komarova,29,1,0,None,{},6.32 K
Julia Merkelbach,28,0,2,None,{},2.96 K
Ning Jinyi,28,1,0,None,{},398
Shanelle Nyasiase,28,1,1,"Ethiopia, South Sudan",{},43.93 K
Yorgelis Marte,28,0,1,Dominican Republic,{},3.24 K
Aaliyah Hydes,27,1,1,"United Kingdom, Cayman Islands",{},6.65 K
Giedre Dukauskaite,27,4,0,"May 16, 1988","{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '177', 'Bust (cm)': '53', 'Waist (cm)': '61', 'Hips (cm)': '89', 'Shoe (us)': '9'}",92.63 K
Jing Wen,27,1,0,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8'}",31.64 K
Juliane Grüner,27,1,0,Denmark,{},4.73 K
Kaia Gerber,27,2,2,United States,"{'Hair': 'Brown', 'Eyes': 'Brown'}",4.95 M
Kaila Wyatt,27,1,0,United States,"{'Hair': 'Red', 'Eyes': 'Blue', 'Height (cm)': '177.8', 'Shoe (us)': '8'}",2.98 K
Léa Julian,27,0,0,France,{},35.94 K
Maud Hoevelaken,27,0,2,None,{},2.17 K
Merel Zoet,27,2,2,None,{},4.33 K
Miriam Sanchez,27,0,0,None,{},14.58 K
Nya Gatbel,27,0,0,Canada,{},6.01 K
Tang He,27,0,0,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '39'}",3.26 K
Yoon Young Bae,27,0,0,South Korea,{},168.01 K
Kerolyn Soares,26,3,0,Brazil,{},7.52 K
Natalia Montero,26,2,0,Colombia,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '177', 'Bust (cm)': '80', 'Waist (cm)': '62', 'Hips (cm)': '87', 'Shoe (us)': '38'}",8.05 K
Nikki Tissen,26,0,0,None,{},1.91 K
Xu Jing,26,1,1,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '56', 'Hips (cm)': '86', 'Shoe (us)': '38'}",1.30 K
Abby Champion,25,0,1,United States,{},358.73 K
Cara Taylor,25,0,1,United States,"{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '177', 'Bust (cm)': '81', 'Waist (cm)': '64', 'Hips (cm)': '89', 'Shoe (us)': '10'}",65.38 K
Heejung Park,25,0,0,South Korea,{},26.64 K
Jamily Wernke Meurer,25,0,0,Brazil,"{'Hair': 'Brown', 'Eyes': 'Green', 'Height (cm)': '181'}",4.36 K
Emily Driver,24,0,0,None,{},1.91 K
Evelyn Nagy,24,0,0,None,"{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '178'}",3.11 K
Grace Elizabeth,24,1,2,United States,"{'Hair': 'Blonde', 'Eyes': 'Green'}",1.04 M
Manuela Sanchez,24,0,1,Dominican Republic,{},9.08 K
Sijia Kang,24,0,1,China,{},9.82 K
Wangy ,24,1,0,China,"{'Hair': 'Black', 'Eyes': 'Brown'}",6.19 K
Yeva Podurian,24,0,1,None,{},6.01 K
Amanda Googe,23,0,0,None,"{'Hair': 'Brown', 'Eyes': 'Hazel', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}",21.16 K
Amira Pinheiro,23,1,0,None,{},13.09 K
Bella Hadid,23,2,3,"October 9, 1996","{'Hair': 'Brown', 'Eyes': 'Blue', 'Height (cm)': '174', 'Bust (cm)': '86', 'Waist (cm)': '61', 'Hips (cm)': '81', 'Shoe (us)': '7.5'}",26.64 M
Fatou Jobe,23,0,2,None,{},6.19 K
Justine Asset,23,0,0,None,{},1.50 K
Rachelle Harris,23,0,0,None,{},3.36 K
Gigi Hadid,22,3,4,"April 23, 1995","{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '178', 'Bust (cm)': '86', 'Waist (cm)': '64', 'Hips (cm)': '89'}",50.63 M
Hannah Shakespeare,22,0,0,United Kingdom,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86'}",7.16 K
J Moon,22,1,0,None,"{'Hair': 'Red', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",6.85 K
Kukua Williams,22,0,2,United Kingdom,{},3.41 K
Licett Morillo,22,0,0,Dominican Republic,{},7.19 K
Louise Robert,22,0,0,Belgium,{},4.59 K
Meghan Roche,22,0,0,United States,"{'Hair': 'Brown', 'Eyes': 'Blue'}",106.11 K
Nora Vara,22,0,2,None,{},9.39 K
Sara Eirud,22,2,0,Sweden,{},2.58 K
Sasha Knysh,22,0,0,None,{},-
Shuping Li,22,0,0,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '175.3', 'Bust (cm)': '74', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '7'}",-
Vika Ihnatenko,22,0,0,Ukraine,{'Hair': 'Brown'},6.70 K
Vittoria Ceretti,22,1,1,Italy,"{'Hair': 'Brown', 'Eyes': 'Green', 'Height (cm)': '179', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '9.5'}",794.63 K
Cynthia Arrebola,21,1,0,Argentina,{},5.71 K
Jordan Daniels,21,1,1,"New Zealand, South Africa",{},11.59 K
Lexi Boling,21,1,1,United States,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '180', 'Bust (cm)': '81', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}",99.21 K
Mathilde Henning,21,0,1,Denmark,{},8.83 K
Nikki Vonsee,21,0,0,Netherlands,{},2.57 K
Remington Williams,21,0,0,United States,{},7.39 K
Rocio Marconi,21,1,0,Argentina,{},2.86 K
Ruinan Dong,21,0,0,China,{},829
Selena Forrest,21,0,1,United States,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",74.30 K
